Guid	ID	Name	LocalizedName	#	Shortcut
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+Shift+D
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	18	Tools.RefreshSuggestions	ツール.RefreshSuggestions	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+Shift+D
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	2	Microsoft SQL Server Data Tools, テーブル デザイナー::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	0	Tools.EnableSuggestions	ツール.EnableSuggestions	3	Microsoft SQL Server Data Tools, T-SQL PDW エディター::Ctrl+Shift+P
{2DE0DE2F-69B8-413D-93C8-1DFA6FB1E363}	40	Tools.EnableCodeAnalysis	ツール.EnableCodeAnalysis	1	Microsoft SQL Server Data Tools, T-SQL Editor::Ctrl+Shift+A
{9B529DC2-A902-4EEA-9DCE-9E348551ABA6}	776	Debug.DiagnosticTools.Show	デバッグ.診断ツールの表示	1	全体::Ctrl+Alt+F2
{300A8877-B214-4385-8A7F-AB257498FFEB}	8201	Debug.StopPerformanceAnalysis	デバッグ.パフォーマンス分析の停止	1	全体::Shift+Alt+F2
{9B529DC2-A902-4EEA-9DCE-9E348551ABA6}	4608	Debug.DiagnosticsHub.StopCollection	デバッグ.停止	1	全体::Ctrl+Shift+F2
{9B529DC2-A902-4EEA-9DCE-9E348551ABA6}	775	Debug.DiagnosticsHub.Launch	デバッグ.パフォーマンスプロファイラー	1	全体::Alt+F2
{7660636A-8C08-4430-A56F-146E42A8B2C5}	2	Edit.ShowCodeLensMenu	編集.CodeLensメニューの表示	1	テキスト エディター::Ctrl+K, @
{7660636A-8C08-4430-A56F-146E42A8B2C5}	2	Edit.ShowCodeLensMenu	編集.CodeLensメニューの表示	2	テキスト エディター::Ctrl+K, Ctrl+@
{160961B3-909D-4B28-9353-A1BEF587B4A6}	8	Edit.ShowNavigateMenu	編集.ナビゲートメニューの表示	1	テキスト エディター::Alt+@
{160961B3-909D-4B28-9353-A1BEF587B4A6}	22	Edit.ExpandSelectiontoContainingBlock	編集.選択範囲を包含ブロックまで広げる	1	テキスト エディター::Shift+Alt+]
{5EFC7975-14BC-11CF-9B2B-00AA00573819}	3	Format.AlignLefts	書式.左揃え	1	VC ダイアログ エディター::Ctrl+Shift+左矢印
{5EFC7975-14BC-11CF-9B2B-00AA00573819}	4	Format.AlignRights	書式.右揃え	1	VC ダイアログ エディター::Ctrl+Shift+右矢印
{5EFC7975-14BC-11CF-9B2B-00AA00573819}	6	Format.AlignTops	書式.上揃え	1	VC ダイアログ エディター::Ctrl+Shift+上矢印
{5EFC7975-14BC-11CF-9B2B-00AA00573819}	2	Format.AlignMiddles	書式.上下中央整列	1	VC ダイアログ エディター::F9
{5EFC7975-14BC-11CF-9B2B-00AA00573819}	1	Format.AlignBottoms	書式.下揃え	1	VC ダイアログ エディター::Ctrl+Shift+下矢印
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16384	WorkflowDesigner.GoToParent	ワークフローデザイナー.親に移動	1	ワークフロー デザイナー::Ctrl+E, Ctrl+P
